,clust,Balance,Qual_miles,cc1_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award
552,1,13873,0,1,4833,20,0,0,6519,0
553,1,148,0,1,190,2,0,0,6507,0
554,2,178919,0,3,23387,17,0,0,6555,1
555,8,19702,0,1,3000,1,0,0,6554,1
556,1,18820,0,1,0,0,0,0,6549,0
557,8,213849,0,1,500,1,0,0,6549,1
558,1,28077,0,1,735,6,500,1,6575,0
559,1,4528,0,1,290,1,0,0,6565,0
560,2,40418,0,3,12678,12,0,0,6541,1
561,8,380930,0,2,22485,25,213,1,6539,1
562,8,176849,0,1,7700,11,950,4,6539,1
563,3,71235,0,4,41004,14,0,0,6535,0
564,2,76446,0,5,63811,17,0,0,6550,1
565,2,148915,0,3,23522,16,650,2,6532,1
566,3,65034,0,3,14331,16,800,3,6541,0
567,2,35738,0,4,41264,16,0,0,6526,1
568,1,313,0,1,1600,1,0,0,6525,0
569,1,55703,0,1,0,0,0,0,6520,0
570,8,11613,0,1,2000,1,0,0,6519,1
571,3,65672,0,4,29089,13,0,0,6529,0
572,1,84785,0,1,4570,14,0,0,6514,0
573,1,30592,862,1,2602,7,0,0,6512,0
574,2,99293,0,5,81040,23,1000,2,6508,1
575,1,51830,0,1,0,0,0,0,6507,0
576,2,20126,0,5,78999,28,800,3,6506,1
577,1,3294,0,1,1330,2,0,0,6498,0
578,8,11143,0,1,2800,6,800,5,6529,1
579,1,8250,0,1,250,2,0,0,6486,0
580,3,117670,0,5,53043,19,550,1,6505,0
581,1,49454,0,2,9548,22,250,1,6501,0
582,1,58421,0,1,1000,1,0,0,6532,0
583,1,33443,0,1,0,0,0,0,6476,0
584,1,13886,0,1,0,0,0,0,6465,0
585,1,15349,0,1,250,2,0,0,6457,0
586,1,78712,0,1,0,0,0,0,6433,0
587,3,89742,0,4,39073,13,0,0,6498,0
588,1,31311,0,1,3961,10,0,0,6494,0
589,10,133445,8264,1,3375,13,0,0,6492,1
590,1,136161,0,1,6032,15,0,0,6463,0
591,1,9998,0,1,0,0,0,0,6448,0
592,2,37904,0,3,19052,17,0,0,6487,1
593,3,41243,0,4,27971,7,300,1,6483,0
594,2,54011,1604,3,38380,20,5780,4,6487,1
595,1,5351,0,1,100,1,0,0,6450,0
596,1,23334,0,1,0,0,0,0,6441,0
597,1,11255,0,1,0,0,0,0,6428,0
598,2,48127,0,4,41447,28,0,0,6421,1
599,2,329497,0,5,57264,12,0,0,6484,1
600,3,158895,0,4,41954,15,0,0,6525,0
601,3,34540,0,4,27882,13,0,0,6494,0
602,2,117623,0,5,86582,26,1000,6,6477,1
603,3,126409,0,4,28460,13,0,0,6478,0
604,2,112843,0,3,16137,14,0,0,6472,1
605,8,117240,0,1,1200,3,700,2,6471,1
606,2,7216,0,3,21419,18,0,0,6470,1
607,1,26412,0,1,5086,2,0,0,6552,0
608,3,427528,0,4,35098,16,1600,3,6465,0
609,1,1846,0,1,450,1,0,0,6471,0
610,1,45830,0,2,23404,10,0,0,6459,0
611,8,179042,0,1,25078,50,3350,15,6456,1
612,8,41487,500,1,10885,7,0,0,6451,1
613,8,39601,0,1,3733,9,0,0,6450,1
614,2,46142,0,3,14445,13,0,0,6452,1
615,2,110277,0,4,37110,18,1500,3,6445,1
616,3,122928,0,3,12211,14,0,0,6443,0
617,2,146599,0,3,16463,16,1000,2,6444,1
618,3,338656,0,4,52908,16,0,0,6444,0
619,2,54125,0,4,48874,17,450,3,6463,1
620,2,29861,0,4,28190,15,0,0,6407,1
621,1,126148,0,2,6273,8,0,0,6435,0
622,8,62080,2975,2,19113,32,10650,28,6434,1
623,2,175131,0,5,53495,15,0,0,6431,1
624,2,365918,0,5,83752,23,1373,7,6429,1
625,3,105547,0,3,24973,26,500,1,6415,0
626,3,67615,0,3,14168,13,0,0,6413,0
627,2,33554,0,4,27410,16,350,1,6428,1
628,1,163083,0,1,3825,9,450,4,6428,0
629,2,747983,0,4,26117,15,50,1,6427,1
630,2,415070,588,5,153183,41,3802,20,6423,1
631,1,18111,0,1,4625,26,0,0,6463,0
632,1,41526,0,1,0,0,0,0,6406,0
633,1,38021,0,1,5538,9,0,0,6407,0
634,1,17500,0,1,0,0,0,0,6400,0
635,1,5906,0,1,280,1,0,0,6395,0
636,1,70133,0,2,7396,16,0,0,6392,0
637,8,32010,0,1,12315,6,650,2,6421,1
638,3,82605,0,3,23049,15,0,0,6417,0
639,2,77285,0,5,63841,32,0,0,6417,1
640,8,15219,0,1,0,0,0,0,6427,1
641,1,54889,0,2,13150,4,0,0,6438,0
642,1,8910,0,1,150,1,150,1,6413,0
643,1,49891,0,1,500,1,500,1,6392,0
644,1,10484,0,1,0,0,0,0,6375,0
645,1,15496,0,1,0,0,0,0,6324,0
646,1,16714,0,1,0,0,0,0,6214,0
647,2,25835,0,3,15153,15,0,0,6142,1
648,1,3487,0,1,710,1,0,0,6059,0
649,8,347096,0,1,12000,6,0,0,6408,1
650,2,155962,1199,3,16510,16,50,1,6406,1
651,8,160572,0,1,8163,18,500,1,6403,1
652,8,257068,2586,1,5900,4,400,1,6420,1
653,2,48410,0,4,37869,16,500,1,6395,1
654,1,33269,0,1,4675,10,200,1,6396,0
655,1,25685,0,1,185,3,0,0,6382,0
656,1,50500,0,1,4765,14,0,0,6380,0
657,3,97486,0,3,22707,15,0,0,6387,0
658,8,323459,0,1,12000,8,1500,3,6378,1
659,8,11821,0,1,10697,10,0,0,6387,1
660,3,37039,0,4,29976,18,0,0,6375,0
661,1,28306,0,1,233,3,0,0,6371,0
662,2,109532,0,5,128048,53,7939,26,6372,1
663,2,91974,0,3,19223,18,500,1,6372,1
664,2,65823,0,4,28208,19,300,3,6373,1
665,3,104824,0,3,14582,15,0,0,6366,0
666,1,16061,0,1,2750,11,0,0,6366,0
667,1,55237,0,2,5547,14,0,0,6358,0
668,1,10491,0,1,5025,11,150,1,6357,0
669,2,192334,0,4,33950,21,1450,4,6366,1
670,2,45501,0,4,49656,17,316,1,6375,1
671,1,18661,0,1,0,0,0,0,6352,0
672,3,89668,0,4,29130,14,0,0,6350,0
673,8,53327,0,1,8650,6,650,2,6350,1
674,3,133143,0,4,43643,14,50,1,6385,0
675,2,22268,0,3,23582,15,200,1,6339,1
676,8,26556,3490,1,2845,14,720,4,6339,1
677,2,9601,0,3,20467,16,0,0,6338,1
678,3,280561,0,3,12154,13,0,0,6337,0
679,1,146248,0,1,2900,4,1400,3,6333,0
680,1,9483,0,1,1000,1,0,0,6340,0
681,8,119082,5051,1,4230,17,3600,14,6340,1
682,2,232171,0,3,22258,30,650,2,6340,1
683,2,369816,1745,4,46942,35,7266,17,6340,1
684,1,37381,0,1,6091,16,0,0,6332,0
685,2,173543,0,5,92752,25,0,0,6329,1
686,1,31211,0,1,280,4,100,1,6330,0
687,2,47780,0,5,88773,20,250,2,6329,1
688,3,79479,0,3,23167,13,0,0,6118,0
689,3,81960,0,4,37072,22,700,7,6326,0
690,1,20162,0,1,2750,15,0,0,6324,0
691,3,105683,0,4,28386,17,0,0,6361,0
692,2,234327,0,4,30406,28,150,2,6319,1
693,2,463494,0,3,27390,17,750,1,6323,1
694,1,17334,0,1,6783,27,50,1,6318,0
695,1,57909,0,1,5150,4,0,0,6323,0
696,1,17949,0,1,0,0,0,0,6312,0
697,8,529477,0,2,31624,28,2098,5,6311,1
698,1,71543,0,1,0,0,0,0,6305,0
699,3,111897,0,3,14728,14,0,0,6310,0
700,1,61598,0,1,0,0,0,0,6311,0
701,3,417875,0,4,44472,18,0,0,6308,0
702,2,340874,0,5,68090,43,5676,27,6305,1
703,8,32774,0,1,0,0,0,0,6304,1
704,2,242910,1115,5,103935,18,500,1,6296,1
705,2,137843,0,4,45416,24,250,1,6302,1
706,8,30530,0,1,5590,12,2950,9,6298,1
707,1,30973,0,1,0,0,0,0,6298,0
708,8,238749,0,1,7134,14,3134,12,6297,1
709,1,16803,0,1,1287,6,0,0,6291,0
710,8,23553,810,1,1587,4,487,2,6295,1
711,2,48161,0,4,41174,24,0,0,6294,1
712,1,21616,0,1,0,0,0,0,6291,0
713,8,13114,0,2,14029,13,0,0,6289,1
714,3,117120,0,4,41278,17,500,1,6288,0
715,3,52987,0,3,17510,15,0,0,6289,0
716,3,150176,0,4,29999,17,400,1,6284,0
717,2,19002,0,3,22675,21,0,0,6277,1
718,2,60976,0,5,97318,31,7000,14,6282,1
719,1,50675,0,1,1100,2,100,1,6282,0
720,1,65466,0,2,5488,13,0,0,6280,0
721,2,64280,0,3,21721,18,0,0,6280,1
722,8,14523,0,1,4197,4,0,0,6276,1
723,2,384470,0,3,20468,16,0,0,6280,1
724,1,9157,0,1,75,2,0,0,6274,0
725,2,151904,733,5,76440,25,950,8,6273,1
726,2,13781,0,4,48914,19,500,1,6269,1
727,3,40567,0,3,18122,16,0,0,6268,0
728,3,43090,0,3,11411,10,0,0,6259,0
729,1,1875,0,1,1250,3,0,0,6266,0
730,2,126555,0,4,41253,19,0,0,6280,1
731,2,16472,0,4,45517,12,0,0,6262,1
732,1,21270,0,1,318,10,0,0,6256,0
733,1,33410,0,1,818,12,0,0,6255,0
734,8,15750,0,1,1065,3,0,0,6254,1
735,1,104665,0,2,9547,12,0,0,6249,0
736,2,86285,0,5,61274,14,0,0,6249,1
737,1,41967,0,1,2125,10,0,0,6247,0
738,1,35026,0,1,9799,27,500,1,6247,0
739,3,138411,0,5,53843,14,0,0,6247,0
740,2,127693,0,3,17383,15,0,0,6246,1
741,2,52050,0,4,43190,14,0,0,6245,1
742,1,37162,0,1,0,0,0,0,6241,0
743,8,440265,4081,1,22750,15,1250,10,6234,1
744,8,66572,0,2,8048,14,450,2,6240,1
745,3,237093,0,4,42020,15,0,0,6240,0
746,1,79561,0,1,6333,12,400,2,6231,0
747,1,131528,0,2,10365,17,500,1,6227,0
748,1,11820,0,1,2045,5,0,0,6227,0
749,1,20810,0,1,1713,13,0,0,6225,0
750,3,189423,0,5,63584,31,600,1,6476,0
751,8,96477,0,1,2987,13,0,0,6221,1
752,1,106471,0,1,8444,5,100,1,6220,0
753,2,33374,0,3,20441,13,0,0,6214,1
754,2,210018,0,4,48914,16,0,0,6217,1
755,1,26740,0,1,619,7,0,0,6213,0
756,3,244216,0,4,39166,14,0,0,6214,0
757,3,76737,0,4,34648,31,0,0,6211,0
758,2,20999,0,3,15914,13,0,0,6206,1
759,2,43179,0,3,11915,6,0,0,6214,1
760,8,119214,0,2,10028,16,0,0,6205,1
761,1,14988,0,1,2100,10,0,0,6203,0
762,1,21334,0,1,5472,20,0,0,6200,0
763,3,104307,0,4,51769,24,450,1,6197,0
764,2,34357,0,5,73622,25,100,1,6198,1
765,3,231437,0,3,31266,26,1550,4,6340,0
766,1,14662,0,1,1110,12,0,0,6197,0
767,2,13144,0,3,18615,18,0,0,6196,1
768,2,10978,0,3,14313,11,0,0,6193,1
769,3,150698,0,4,43589,20,1200,4,6193,0
770,1,18035,0,1,811,2,0,0,6193,0
771,1,194604,0,2,6606,10,0,0,6190,0
772,8,117852,2376,1,11406,21,3850,13,6186,1
773,3,32356,0,3,22918,19,0,0,6571,0
774,2,44247,948,4,40939,26,0,0,6184,1
775,1,23431,0,1,3546,10,0,0,6182,0
776,8,37773,0,2,8436,15,0,0,6179,1
777,1,245758,0,1,2750,4,750,2,6179,0
778,1,63587,0,1,500,1,500,1,6184,0
779,8,15088,0,1,5625,15,0,0,6177,1
780,3,152539,0,5,65972,14,0,0,6187,0
781,2,333500,0,5,69780,23,1258,4,6171,1
782,8,15064,0,1,2910,9,0,0,6171,1
783,1,19032,0,1,2375,12,0,0,6169,0
784,3,66434,0,3,13041,13,0,0,6230,0
785,1,146097,0,2,6919,16,0,0,6165,0
786,1,8207,0,1,1750,7,0,0,6184,0
787,3,293648,0,3,22148,15,0,0,6161,0
788,2,147472,0,3,20645,16,0,0,6163,1
789,2,103993,0,3,14149,13,100,1,6158,1
790,8,34651,0,1,4000,6,500,1,6157,1
791,3,102339,0,4,47498,19,0,0,6156,0
792,3,149167,0,4,48521,13,0,0,6155,0
793,2,105249,0,4,36093,15,0,0,6153,1
794,1,55610,0,1,5095,13,0,0,6151,0
795,8,70391,0,1,6000,4,0,0,6150,1
796,2,74645,0,4,40367,18,0,0,6147,1
797,2,26939,0,4,29264,15,0,0,6148,1
798,3,207655,500,5,78967,31,0,0,6144,0
799,8,7421,0,1,0,0,0,0,6142,1
800,3,74924,6286,4,59650,13,0,0,6141,0
801,1,17599,0,1,100,1,0,0,6029,0
802,1,5594,0,1,370,1,0,0,5835,0
803,2,66122,0,3,11756,13,0,0,5630,1
804,1,12024,0,1,0,0,0,0,5119,0
805,2,42044,2253,3,11433,10,0,0,6140,1
806,2,83105,0,4,65077,28,753,3,6137,1
807,2,152063,0,4,34257,19,1100,3,6159,1
808,3,59546,0,3,20730,4,0,0,6135,0
809,1,1258,0,1,475,4,0,0,6134,0
810,1,75181,0,1,2455,7,1100,3,6133,0
811,2,68255,0,3,19077,22,400,2,6130,1
812,2,58229,0,5,53108,16,500,1,6137,1
813,3,97349,0,4,42774,14,0,0,6128,0
814,2,131424,0,5,58814,14,50,1,6128,1
815,8,24011,0,2,20442,9,0,0,6123,1
816,1,64538,0,1,0,0,0,0,6123,0
817,1,3832,0,1,1000,1,0,0,6120,0
818,2,3268,0,4,52263,32,0,0,6120,1
819,1,36790,0,1,7158,14,0,0,6133,0
820,8,363165,2565,1,5950,11,1850,8,6116,1
821,1,179382,0,1,4225,7,0,0,6115,0
822,8,218207,0,1,8500,4,0,0,6114,1
823,2,765738,0,5,62133,14,0,0,6112,1
824,1,54265,0,1,0,0,0,0,6109,0
825,3,69959,0,3,16504,13,0,0,6108,0
826,8,86380,2643,1,13500,3,0,0,6102,1
827,1,48321,0,1,0,0,0,0,6102,0
828,3,78130,0,4,37251,15,900,2,6120,0
829,2,25333,0,3,11229,16,300,2,6099,1
830,3,54522,0,3,21221,45,2500,5,6125,0
831,3,75413,0,4,31726,18,0,0,6094,0
832,2,292533,0,5,64186,15,1000,2,6095,1
833,10,114932,8559,1,3150,13,1650,12,6092,1
834,2,18932,0,3,24660,22,0,0,6091,1
835,2,35997,0,5,71171,19,900,5,6088,1
836,3,136664,0,4,36024,15,0,0,6086,0
837,2,173191,0,4,31503,13,0,0,6084,1
838,1,16528,0,1,250,2,0,0,6081,0
839,2,119932,0,3,22463,26,5177,11,6077,1
840,3,144171,0,4,33200,15,0,0,6073,0
841,3,77109,0,5,60000,7,0,0,6071,0
842,3,144973,0,3,23703,14,0,0,6280,0
843,1,75027,0,1,1390,3,500,1,6067,0
844,2,96387,0,4,43512,20,0,0,6065,1
845,1,34854,0,1,750,5,650,4,6063,0
846,1,44307,0,2,7944,8,0,0,6060,0
847,3,73836,0,5,64748,19,0,0,6087,0
848,1,20126,0,1,0,0,0,0,6053,0
849,2,56268,0,4,33447,14,100,1,6017,1
850,2,25629,0,4,107308,36,600,2,5966,1
851,2,70774,0,3,32635,31,1400,14,5931,1
852,1,6371,0,1,1404,8,0,0,5905,0
853,3,95595,0,3,12060,14,0,0,5877,0
854,3,51843,0,4,40997,17,0,0,5859,0
855,3,84868,0,4,33187,15,0,0,6057,0
856,1,79629,0,1,2550,2,50,1,6091,0
857,1,58620,0,1,2125,10,0,0,6051,0
858,2,70380,0,5,74399,12,0,0,6050,1
859,3,93473,0,3,20257,15,0,0,6049,0
860,2,131621,0,2,27846,31,6047,11,6045,1
861,3,195563,0,3,16715,13,0,0,6042,0
862,8,21138,0,1,4500,2,0,0,6031,1
863,1,93319,0,1,270,3,100,1,6043,0
864,7,56606,3818,4,61634,14,100,1,6039,1
865,2,38763,0,4,34652,13,0,0,6037,1
866,8,16430,0,2,8528,12,0,0,6036,1
867,1,61440,0,2,8156,25,0,0,6032,0
868,8,206648,0,1,5132,16,2450,11,6030,1
869,8,323273,0,1,9000,5,500,1,6028,1
870,2,76702,0,3,21568,17,0,0,6025,1
871,2,19348,0,3,17059,19,0,0,6022,1
872,8,31669,0,2,8384,15,0,0,6018,1
873,1,40902,0,1,4850,7,1350,5,6018,0
874,1,16906,0,1,2750,15,0,0,6017,0
875,8,65508,0,1,14000,7,2500,5,6015,1
876,1,10152,0,1,0,0,0,0,6010,0
877,2,21461,0,3,40806,28,0,0,6011,1
878,1,28979,0,2,6494,12,0,0,6010,0
879,1,24711,0,1,3193,11,500,1,6009,0
880,2,301447,0,5,63866,18,500,1,6004,1
881,3,234308,0,3,21078,15,200,1,6007,0
882,1,37832,0,1,0,0,0,0,6004,0
883,3,135168,0,4,29156,16,300,2,6002,0
884,3,134650,0,4,40232,17,2055,2,6000,0
885,2,20665,0,3,19947,16,0,0,5997,1
886,8,5546,0,1,2631,6,0,0,5995,1
887,3,91736,0,4,26724,14,0,0,5994,0
888,1,444159,0,1,0,0,0,0,5993,0
889,8,94167,0,1,6500,4,500,1,5990,1
890,1,132256,0,2,15040,24,899,3,5988,0
891,2,149959,0,5,85844,51,1400,4,5986,1
892,1,104338,0,1,2500,1,0,0,5982,0
893,2,38312,0,4,37419,14,0,0,5980,1
894,1,1860,0,1,65,2,0,0,5976,0
895,1,54337,0,1,2131,9,230,1,5976,0
896,1,218763,8753,1,11650,6,1150,3,5975,0
897,1,26204,967,1,4030,6,2930,4,5989,0
898,1,27876,0,1,0,0,0,0,5972,0
899,1,115533,0,2,8867,15,0,0,5968,0
900,3,129412,0,5,62510,21,0,0,5982,0
901,7,172110,9325,5,21382,23,950,3,5944,1
902,1,143378,0,1,3000,4,1500,3,5905,0
903,1,120476,0,2,9406,14,0,0,5870,0
904,8,15835,0,2,112171,16,0,0,5825,1
905,2,289351,0,5,147787,35,500,1,5789,1
906,1,32141,0,1,3500,14,0,0,5768,0
907,1,967,0,1,980,2,0,0,5716,0
908,1,20281,0,1,0,0,0,0,5567,0
909,3,111072,0,4,50533,19,350,1,5541,0
910,1,2111,0,1,100,1,0,0,5962,0
911,2,322454,0,4,44591,23,250,1,5961,1
912,1,4600,0,1,140,1,0,0,5959,0
913,1,23390,0,1,1650,3,150,1,5958,0
914,8,210496,0,1,9022,24,4900,19,5953,1
915,8,40189,0,1,0,0,0,0,5952,1
916,8,21747,0,1,0,0,0,0,5638,1
917,3,212051,0,5,76256,23,2993,6,5523,0
918,1,266200,0,1,5000,1,0,0,5583,0
919,2,54148,0,4,40233,14,350,1,5949,1
920,1,25512,0,1,0,0,0,0,5393,0
921,1,28519,0,1,2125,2,0,0,5405,0
922,2,219387,0,5,105913,21,150,2,5951,1
923,2,163964,0,3,11385,11,0,0,5948,1
924,1,49736,0,1,3200,4,700,3,6038,0
925,8,10084,0,1,500,1,500,1,5946,1
926,8,22988,0,2,9347,14,1200,4,5944,1
927,1,17739,0,1,437,4,0,0,5941,0
928,1,152426,0,1,6000,6,2000,4,5939,0
929,1,34428,0,1,2625,10,0,0,5938,0
930,2,124030,0,5,61599,16,0,0,5934,1
931,1,17336,0,1,2375,12,0,0,5934,0
932,2,290012,0,5,64360,18,650,2,5931,1
933,3,29125,0,3,10930,14,0,0,5945,0
934,3,83848,0,4,28202,14,0,0,5927,0
935,2,133264,0,5,74067,21,0,0,5926,1
936,3,124869,0,3,30116,16,0,0,5924,0
937,2,39233,0,4,27545,13,0,0,5920,1
938,2,13050,0,3,13617,16,0,0,5920,1
939,3,90855,0,3,23992,13,0,0,5919,0
940,8,44824,0,1,21107,19,2000,4,5916,1
941,8,3663,0,1,894,10,0,0,5916,1
942,2,44293,0,3,21920,21,100,1,5913,1
943,1,31319,0,1,7552,5,0,0,5912,0
944,3,40757,0,3,14002,11,0,0,5912,0
945,1,130356,0,1,150,1,150,1,5910,0
946,3,125077,0,3,21881,14,0,0,5905,0
947,3,226826,0,5,91660,21,500,1,5906,0
948,2,38150,0,3,16688,15,0,0,5854,1
949,1,20342,0,1,3291,9,0,0,5829,0
950,1,45781,0,2,6498,13,0,0,5801,0
951,1,144525,0,1,2833,4,0,0,5785,0
952,1,37571,0,2,7197,15,0,0,5762,0
953,3,112013,0,3,24943,14,0,0,5734,0
954,2,30638,0,3,48963,16,0,0,5696,1
955,2,55997,0,5,68320,23,0,0,5899,1
956,1,11447,0,1,1945,13,0,0,5902,0
957,1,17778,0,1,0,0,0,0,5897,0
958,2,13375,4301,4,15732,43,9200,28,5916,1
959,3,118572,0,3,21426,19,0,0,5892,0
960,1,13720,0,1,0,0,0,0,5884,0
961,1,11030,0,1,0,0,0,0,5884,0
962,2,8651,0,4,41586,22,950,5,5882,1
963,3,281626,0,5,53521,16,0,0,5878,0
964,2,26367,0,3,19649,15,0,0,5874,1
965,8,120945,0,1,4300,4,300,2,5871,1
966,2,2843,0,4,44130,35,7450,20,5869,1
967,1,11782,0,1,0,0,0,0,5864,0
968,8,89480,0,1,2946,4,1946,3,5902,1
969,2,20702,0,4,30451,24,1100,5,5856,1
970,1,15108,0,1,2850,16,0,0,5876,0
971,2,24917,0,3,16239,13,150,1,5857,1
972,2,132910,0,5,75540,46,250,1,5856,1
973,1,61227,0,2,6957,10,0,0,5647,0
974,1,2117,0,1,769,7,0,0,5609,0
975,2,38964,0,3,35166,26,3200,8,5553,1
976,1,20498,0,1,7826,20,7226,18,5491,0
977,2,131554,0,5,64937,15,0,0,5428,1
978,3,55661,0,3,15107,13,0,0,5387,0
979,3,84949,0,4,41854,15,0,0,5336,0
980,3,139897,0,3,21065,28,50,1,5329,0
981,1,155587,0,1,6893,9,0,0,5279,0
982,1,24310,0,1,2815,6,0,0,5266,0
983,3,106115,0,3,16197,21,500,1,5219,0
984,2,238641,0,5,61971,15,850,2,5849,1
985,1,70671,0,1,0,0,0,0,5850,0
986,8,31593,0,1,3128,12,0,0,5846,1
987,3,101397,0,3,19173,12,0,0,5847,0
988,3,133052,0,3,17424,15,0,0,5843,0
989,3,37252,0,3,15774,19,0,0,5842,0
990,1,15241,0,1,0,0,0,0,5840,0
991,8,21101,0,1,7171,32,0,0,5839,1
992,3,80612,0,4,32334,20,0,0,5839,0
993,2,45542,0,5,59012,14,0,0,5835,1
994,8,5274,0,1,2074,11,0,0,5834,1
995,3,101089,0,3,23503,17,0,0,5834,0
996,1,7560,0,1,0,0,0,0,5833,0
997,2,255797,0,5,62107,16,0,0,5832,1
998,3,192046,0,4,54818,52,1200,3,5829,0
999,3,370596,0,5,50120,12,0,0,5826,0
1000,3,141491,0,5,63060,6,0,0,5827,0
1001,2,89527,0,3,22206,14,0,0,5821,1
1002,1,330644,0,1,0,0,0,0,5822,0
1003,3,49430,0,4,31471,16,0,0,5822,0
1004,1,114070,0,2,16293,24,250,1,5818,0
1005,1,124004,0,2,9982,12,0,0,5815,0
1006,1,10497,0,1,0,0,0,0,5815,0
1007,8,8327,0,1,2900,4,150,1,5814,1
1008,1,25463,0,2,7973,14,0,0,5813,0
1009,2,85036,0,4,43825,21,0,0,5807,1
1010,8,11449,0,1,24415,11,0,0,5864,1
1011,1,54392,0,1,0,0,0,0,5807,0
1012,1,52577,0,1,441,12,0,0,5804,0
1013,8,80174,0,1,500,1,0,0,5804,1
1014,1,96827,1094,1,12100,19,8100,17,5801,0
1015,8,9489,0,1,5359,14,0,0,5807,1
1016,8,57587,0,1,2620,6,0,0,5799,1
1017,3,131306,0,3,32115,15,0,0,5797,0
1018,3,39985,0,3,15103,21,0,0,5794,0
1019,1,71627,0,1,3225,9,600,2,5793,0
1020,3,161396,0,3,26695,11,1000,2,5792,0
1021,1,81300,0,1,3750,5,250,3,5791,0
1022,8,66015,0,2,26706,30,2676,7,5790,1
1023,1,7800,0,1,200,1,0,0,5787,0
1024,1,27348,0,1,3084,4,0,0,5824,0
1025,8,153554,0,1,11786,6,1750,4,5784,1
1026,1,42990,0,1,5345,3,0,0,5804,0
1027,8,16664,0,1,0,0,0,0,5778,1
1028,3,37618,0,3,17385,7,0,0,5818,0
1029,3,53384,0,3,16907,12,0,0,5778,0
1030,1,43326,0,1,1100,7,1100,7,5776,0
1031,3,113683,0,3,11821,12,0,0,5773,0
1032,2,77930,0,4,37541,35,3600,18,5773,1
1033,2,27625,0,3,27799,16,500,1,5772,1
1034,1,33835,0,1,2280,7,1000,2,5771,0
1035,1,170049,3692,2,10232,16,750,2,5770,0
1036,3,154664,0,4,73881,33,0,0,5769,0
1037,2,36935,0,4,34448,17,0,0,5766,1
1038,1,67904,0,1,81,1,0,0,5764,0
1039,8,57434,0,2,11140,16,0,0,5770,1
1040,1,11031,0,1,1600,5,0,0,5762,0
1041,1,78268,0,1,6172,13,500,1,5758,0
1042,2,98213,0,5,68013,29,0,0,5755,1
1043,2,9430,0,3,11323,13,0,0,5756,1
1044,8,5195,0,1,33050,3,50,1,5755,1
1045,1,9793,0,1,3100,2,0,0,5755,0
1046,2,34690,0,3,18124,14,0,0,5752,1
1047,3,138368,0,5,68663,13,0,0,5755,0
1048,3,63547,0,4,31745,14,0,0,5748,0
1049,3,217130,0,4,51202,20,0,0,5745,0
1050,1,14106,0,1,475,4,0,0,5749,0
1051,1,44026,0,2,12282,18,634,1,5738,0
1052,2,62183,1896,4,38635,18,0,0,5738,1
1053,2,165534,0,5,71312,18,1000,2,5736,1
1054,3,45358,0,3,14507,9,0,0,5735,0
1055,2,72325,0,5,56792,16,0,0,5731,1
1056,3,190285,0,5,69262,16,348,1,5728,0
1057,3,235567,0,3,16106,15,0,0,5728,0
1058,2,305519,0,5,79216,27,650,3,5724,1
1059,1,161546,0,1,8042,6,600,2,5722,0
1060,1,38884,0,1,2850,13,500,1,5729,0
1061,8,42040,1000,1,14189,17,4034,13,5717,1
1062,1,96988,0,2,7761,14,0,0,5715,0
1063,8,24394,0,1,3250,3,250,1,5713,1
1064,2,354641,0,5,77694,29,3600,9,5710,1
1065,2,39313,0,3,24091,16,0,0,5706,1
1066,8,468,0,1,26650,14,550,3,5708,1
1067,3,146014,0,4,26366,17,700,3,5822,0
1068,2,42999,0,4,33801,12,350,1,5653,1
1069,3,37163,0,3,19318,14,0,0,4988,0
1070,2,6158,0,4,27754,14,0,0,5546,1
1071,3,108904,0,3,19931,17,0,0,5255,0
1072,1,25168,0,1,500,1,500,1,5547,0
1073,3,68454,0,3,13667,12,0,0,5559,0
1074,1,70877,0,2,8956,15,0,0,5696,0
1075,1,1057,0,1,433,5,0,0,5622,0
1076,2,35342,0,5,70454,12,0,0,5534,1
1077,1,16992,0,1,0,0,0,0,5582,0
1078,8,2558,0,1,6264,10,0,0,5581,1
1079,8,196093,0,1,14000,3,0,0,5595,1
1080,8,269558,0,1,10000,1,0,0,5472,1
1081,1,88500,0,1,2500,2,0,0,5090,0
1082,1,8719,0,1,2000,9,0,0,5671,0
1083,8,36936,0,1,2875,16,0,0,5492,1
1084,8,427357,0,2,6027,12,0,0,5587,1
1085,3,258422,0,4,48708,17,0,0,5657,0
1086,1,75428,0,2,7539,14,0,0,5609,0
1087,2,34383,0,3,22956,12,0,0,5611,1
1088,1,82120,0,1,8000,3,0,0,5619,0
1089,1,34546,0,1,1500,2,0,0,5612,0
1090,1,92641,0,1,5265,6,0,0,5568,0
1091,1,95100,0,1,1250,3,1250,3,5671,0
1092,1,19960,0,1,0,0,0,0,4896,0
1093,2,47150,0,4,39561,18,0,0,5577,1
1094,8,1650,0,1,1250,3,250,1,5554,1
1095,8,100992,0,1,8144,16,409,2,5422,1
1096,8,68610,0,2,6115,12,0,0,5349,1
1097,1,75684,0,2,27320,9,0,0,5316,0
1098,1,42438,0,1,519,10,0,0,5349,0
1099,2,17645,0,4,60978,20,0,0,5660,1
1100,1,24545,0,1,0,0,0,0,5671,0
1101,3,84633,0,3,10771,10,0,0,5479,0
1102,2,103891,1388,5,140573,21,1150,3,5699,1
1103,2,39847,0,5,95918,38,150,1,5694,1
1104,3,47938,0,3,12656,13,0,0,5708,0
